Tanggal;Tavg
22/10/2022;28,6
23/10/2022;28,2
24/10/2022;27,9
25/10/2022;26,9
26/10/2022;26,2
27/10/2022;28,1
28/10/2022;28,5
29/10/2022;27,7
30/10/2022;28,5
31/10/2022;28
01/11/2022;28,3
02/11/2022;28,1
03/11/2022;27,5
04/11/2022;27,9
05/11/2022;26,3
06/11/2022;27,2
07/11/2022;26,5
08/11/2022;26,3
09/11/2022;27
10/11/2022;27,3
11/11/2022;26,7
12/11/2022;25,7
13/11/2022;26,5
14/11/2022;27,9
15/11/2022;28
16/11/2022;27,8
17/11/2022;25,4
18/11/2022;27,7
19/11/2022;28,3
20/11/2022;28,6
21/11/2022;28,4
22/11/2022;28,4
23/11/2022;28,1
24/11/2022;27,7
25/11/2022;26,2
26/11/2022;27,3
27/11/2022;26,7
28/11/2022;26,7
29/11/2022;27,9
30/11/2022;27,9
01/12/2022;27
02/12/2022;27,1
03/12/2022;27,4
04/12/2022;28,1
05/12/2022;27,6
06/12/2022;27,3
07/12/2022;27,5
08/12/2022;28
09/12/2022;26,8
10/12/2022;28,7
11/12/2022;28,1
12/12/2022;28,5
13/12/2022;27,3
14/12/2022;28,2
15/12/2022;29,4
16/12/2022;27,8
17/12/2022;27,3
18/12/2022;27,6
19/12/2022;28,3
20/12/2022;28,1
21/12/2022;28,2
22/12/2022;27,5
23/12/2022;26,7
24/12/2022;28
25/12/2022;25,5
26/12/2022;26,2
27/12/2022;25,7
28/12/2022;24,7
29/12/2022;25,8
30/12/2022;25,6
31/12/2022;25,4
01/01/2023;25,8
02/01/2023;27,1
03/01/2023;25,5
04/01/2023;26,5
05/01/2023;27,2
06/01/2023;28,4
07/01/2023;28,4
08/01/2023;26,3
09/01/2023;28,1
10/01/2023;28,8
11/01/2023;27,6
12/01/2023;27,8
13/01/2023;27,9
14/01/2023;28,6
15/01/2023;28,4
16/01/2023;27,7
17/01/2023;26,9
18/01/2023;27,4
19/01/2023;27,1
20/01/2023;27,4
21/01/2023;27,6
22/01/2023;28,1
23/01/2023;27,6
24/01/2023;27,9
25/01/2023;26,3
26/01/2023;27,5
27/01/2023;26,7
